"","theta_idx","method","n_idx","coverage","width","theta","n"
"210",15,"dhz_orac",4,0.959,0.19793556518291,10,1000
"211",1,"dhz_data",4,0.93,1.97877868205539,0.2,1000
"212",2,"dhz_data",4,0.97,0.659968338409209,0.9,1000
"213",3,"dhz_data",4,0.967,0.436319976894032,1.6,1000
"214",4,"dhz_data",4,0.961,0.335817892756834,2.3,1000
"215",5,"dhz_data",4,0.959,0.285511756760215,3,1000
"216",6,"dhz_data",4,0.963,0.268485246949494,3.7,1000
"217",7,"dhz_data",4,0.97,0.246639599368342,4.4,1000
"218",8,"dhz_data",4,0.963,0.227891225353714,5.1,1000
"219",9,"dhz_data",4,0.954,0.217422325091217,5.8,1000
"220",10,"dhz_data",4,0.962,0.215261084612755,6.5,1000
"221",11,"dhz_data",4,0.953,0.204433194603152,7.2,1000
"222",12,"dhz_data",4,0.961,0.208051742929053,7.9,1000
"223",13,"dhz_data",4,0.96,0.199041117827711,8.6,1000
"224",14,"dhz_data",4,0.96,0.208783823079719,9.3,1000
"225",15,"dhz_data",4,0.963,0.201321063375834,10,1000
"226",1,"subsam",4,0.61,0.785823123879916,0.2,1000
"227",2,"subsam",4,0.789,0.347367929953059,0.9,1000
"228",3,"subsam",4,0.837,0.255303769223287,1.6,1000
"229",4,"subsam",4,0.85,0.214671743945955,2.3,1000
"230",5,"subsam",4,0.867,0.192669081923841,3,1000
"231",6,"subsam",4,0.86,0.181514454254247,3.7,1000
"232",7,"subsam",4,0.896,0.171130627492498,4.4,1000
"233",8,"subsam",4,0.894,0.165910013910915,5.1,1000
"234",9,"subsam",4,0.878,0.162288979821583,5.8,1000
"235",10,"subsam",4,0.89,0.159048643299051,6.5,1000
"236",11,"subsam",4,0.899,0.155787978204598,7.2,1000
"237",12,"subsam",4,0.9,0.154317075544923,7.9,1000
"238",13,"subsam",4,0.878,0.151810687399015,8.6,1000
"239",14,"subsam",4,0.9,0.150143575841941,9.3,1000
"240",15,"subsam",4,0.904,0.149961309547067,10,1000
